0.00,0.00,0.00,1.00,0.00,0.00,17.74,3.43,175,8.87,3.43,-6.24,0.79,0.00,-1.00,5.63,0.60,173,8.87,-3.43,-6.24,0.00,0.00,-1.00,5.63,0.57,179,-8.87,3.43,-6.24,0.00,0.00,-1.00,5.63,0.64,175,-8.87,-3.43,-6.24,0.45,0.00,-1.00,5.63,0.77,175,10.30,0.00,3.43,1.00,0.00,1.00,2.86,2.27,177,11.73,0.00,3.43,1.00,0.19,0.00,4.08,2.37,175,-3.19,0.00,0.00,-1.00,-0.01,-0.04,14.55,0.47,171,2
0.00,0.00,0.00,1.00,0.00,0.00,24.98,6.60,176,12.49,6.60,-12.71,0.48,0.00,-1.00,12.22,1.11,175,12.49,-6.60,-12.71,0.00,0.00,-1.00,12.22,0.93,172,-12.49,6.60,-12.71,0.00,0.00,-1.00,12.22,0.98,175,-12.49,-6.60,-12.71,0.45,0.00,-1.00,12.22,1.19,175,15.38,0.00,6.60,1.00,0.00,1.00,5.79,2.11,178,18.27,0.00,6.60,1.00,0.36,0.00,11.73,3.06,175,-18.47,0.00,0.00,-1.00,0.11,-0.04,6.51,0.29,174,1
0.00,0.00,0.00,1.00,0.00,0.00,25.45,7.01,175,12.72,7.01,-13.40,0.26,0.00,-1.00,12.79,0.96,174,12.72,-7.01,-13.40,0.00,0.00,-1.00,12.79,1.01,175,-12.72,7.01,-13.40,0.00,0.00,-1.00,12.79,0.83,176,-12.72,-7.01,-13.40,0.44,0.00,-1.00,12.79,1.02,172,15.56,0.00,7.01,1.00,0.00,1.00,5.66,2.63,175,18.39,0.00,7.01,1.00,0.70,0.00,11.62,2.65,174,-18.55,0.00,0.00,-1.00,-0.27,-0.16,6.90,0.24,173,1
0.00,0.00,0.00,1.00,0.00,0.00,20.70,3.32,175,10.35,3.32,-7.23,0.50,0.00,-1.00,7.82,0.74,177,10.35,-3.32,-7.23,0.00,0.00,-1.00,7.82,0.61,176,-10.35,3.32,-7.23,0.00,0.00,-1.00,7.82,0.63,171,-10.35,-3.32,-7.23,0.25,0.00,-1.00,7.82,0.58,174,11.88,0.00,3.32,1.00,0.00,1.00,3.06,2.19,173,13.41,0.00,3.32,1.00,-0.04,0.00,3.65,2.05,174,-6.62,0.00,0.00,-1.00,0.08,-0.27,14.09,0.51,173,2
0.00,0.00,0.00,1.00,0.00,0.00,64.89,14.91,172,32.44,14.91,-46.63,0.26,0.00,-1.00,63.44,2.97,173,32.44,-14.91,-46.63,0.00,0.00,-1.00,63.44,2.98,175,-32.44,14.91,-46.63,0.00,0.00,-1.00,63.44,3.10,174,-32.44,-14.91,-46.63,0.32,0.00,-1.00,63.44,3.26,174,51.03,0.00,33.50,1.00,0.00,1.00,52.56,7.22,173,69.62,0.00,52.08,1.00,-0.01,0.00,20.31,4.45,176,-41.57,0.00,0.00,-1.00,0.35,-0.48,23.32,0.75,176,4
0.00,0.00,0.00,1.00,0.00,0.00,27.23,5.75,178,13.61,5.75,-12.53,0.59,0.00,-1.00,13.57,1.03,176,13.61,-5.75,-12.53,0.00,0.00,-1.00,13.57,0.94,174,-13.61,5.75,-12.53,0.00,0.00,-1.00,13.57,0.99,174,-13.61,-5.75,-12.53,0.65,0.00,-1.00,13.57,0.93,179,16.38,0.00,5.75,1.00,0.00,1.00,5.53,2.51,171,19.14,0.00,5.75,1.00,-0.85,0.00,12.52,3.28,173,-20.71,0.00,0.00,-1.00,-0.10,-0.42,6.52,0.28,172,1
0.00,0.00,0.00,1.00,0.00,0.00,27.69,6.31,175,13.84,6.31,-12.66,0.75,0.00,-1.00,12.70,1.20,174,13.84,-6.31,-12.66,0.00,0.00,-1.00,12.70,1.14,174,-13.84,6.31,-12.66,0.00,0.00,-1.00,12.70,1.06,175,-13.84,-6.31,-12.66,0.38,0.00,-1.00,12.70,1.02,178,16.46,0.00,6.31,1.00,0.00,1.00,5.23,2.42,174,19.08,0.00,6.31,1.00,-0.12,0.00,11.22,2.95,175,-20.76,0.00,0.00,-1.00,0.49,1.00,6.93,0.36,175,1
0.00,0.00,0.00,1.00,0.00,0.00,65.10,14.07,178,32.55,14.07,-45.32,0.22,0.00,-1.00,62.49,2.97,170,32.55,-14.07,-45.32,0.00,0.00,-1.00,62.49,2.92,175,-32.55,14.07,-45.32,0.00,0.00,-1.00,62.49,2.99,176,-32.55,-14.07,-45.32,0.09,0.00,-1.00,62.49,3.14,173,48.62,0.00,30.14,1.00,0.00,1.00,45.45,6.68,173,64.69,0.00,46.21,1.00,0.18,0.00,21.54,4.67,175,-41.72,0.00,0.00,-1.00,-0.39,-0.46,23.38,0.88,176,4
0.00,0.00,0.00,1.00,0.00,0.00,69.09,14.85,170,34.55,14.85,-47.38,0.28,0.00,-1.00,65.05,3.27,177,34.55,-14.85,-47.38,0.00,0.00,-1.00,65.05,3.27,177,-34.55,14.85,-47.38,0.00,0.00,-1.00,65.05,3.12,172,-34.55,-14.85,-47.38,0.29,0.00,-1.00,65.05,2.95,172,52.68,0.00,32.98,1.00,0.00,1.00,51.28,6.96,172,70.81,0.00,51.12,1.00,-0.10,0.00,21.17,4.54,174,-46.45,0.00,0.00,-1.00,-0.85,-0.95,22.65,0.74,175,4
0.00,0.00,0.00,1.00,0.00,0.00,19.10,3.48,174,9.55,3.48,-6.83,0.30,0.00,-1.00,6.69,0.80,175,9.55,-3.48,-6.83,0.00,0.00,-1.00,6.69,0.73,175,-9.55,3.48,-6.83,0.00,0.00,-1.00,6.69,0.78,174,-9.55,-3.48,-6.83,0.55,0.00,-1.00,6.69,0.51,179,11.41,0.00,3.48,1.00,0.00,1.00,3.72,1.82,175,13.27,0.00,3.48,1.00,0.02,0.00,4.32,1.76,177,-1.67,0.00,0.00,-1.00,-0.55,0.06,17.43,0.61,179,2
